epoch,categorical_accuracy,loss
0,0.18840579688549042,1.6117488145828247
1,0.18115942180156708,1.6083984375
2,0.17391304671764374,1.6031410694122314
3,0.25362318754196167,1.5967926979064941
4,0.239130437374115,1.5945732593536377
5,0.26811593770980835,1.5870989561080933
6,0.3333333432674408,1.5611848831176758
7,0.26811593770980835,1.5418130159378052
8,0.34057971835136414,1.5914934873580933
9,0.3478260934352875,1.498128056526184
10,0.3840579688549042,1.4804470539093018
11,0.41304346919059753,1.4449455738067627
12,0.32608696818351746,1.4140434265136719
13,0.4057970941066742,1.3536350727081299
14,0.37681159377098083,1.3240222930908203
15,0.39855071902275085,1.3429956436157227
16,0.45652174949645996,1.2746315002441406
17,0.4492753744125366,1.287343144416809
18,0.43478259444236755,1.2489063739776611
19,0.37681159377098083,1.2494689226150513
20,0.4855072498321533,1.1733068227767944
21,0.4855072498321533,1.1056525707244873
22,0.5144927501678467,1.0962803363800049
23,0.5724637508392334,1.0913783311843872
24,0.5652173757553101,1.0055803060531616
25,0.5507246255874634,1.0394461154937744
26,0.5724637508392334,0.994515597820282
27,0.6014492511749268,0.9331430792808533
28,0.6231883764266968,0.8975033164024353
29,0.6231883764266968,0.8203620910644531
30,0.717391312122345,0.768730640411377
31,0.6739130616188049,0.8260570764541626
32,0.6884058117866516,0.9406644105911255
33,0.6739130616188049,1.1227895021438599
34,0.7101449370384216,1.0087289810180664
35,0.6666666865348816,0.788629949092865
36,0.6231883764266968,0.8465979099273682
37,0.6739130616188049,0.8263002634048462
38,0.7028985619544983,0.7608247995376587
39,0.717391312122345,0.7021485567092896
40,0.7898550629615784,0.6035233736038208
41,0.7753623127937317,0.6335986852645874
42,0.7753623127937317,0.6889444589614868
43,0.8115941882133484,0.6027778387069702
44,0.760869562625885,0.598501443862915
45,0.8188405632972717,0.5482401847839355
46,0.7898550629615784,0.561397910118103
47,0.7971014380455017,0.5069502592086792
48,0.8260869383811951,0.5090793967247009
49,0.8260869383811951,0.4483960270881653
50,0.7971014380455017,0.5090522170066833
51,0.7898550629615784,0.5347681045532227
52,0.7971014380455017,0.5354230999946594
53,0.8188405632972717,0.4958294928073883
54,0.8188405632972717,0.47162866592407227
55,0.7971014380455017,0.4882505536079407
56,0.804347813129425,0.5009584426879883
57,0.8333333134651184,0.462152361869812
58,0.8333333134651184,0.4323444068431854
59,0.8478260636329651,0.43973779678344727
60,0.8478260636329651,0.35909876227378845
61,0.8695651888847351,0.40648701786994934
62,0.8623188138008118,0.3518369793891907
63,0.8478260636329651,0.36933672428131104
64,0.8913043737411499,0.3599204421043396
65,0.8405796885490417,0.40896838903427124
66,0.8840579986572266,0.3962131440639496
67,0.8840579986572266,0.7399757504463196
68,0.8623188138008118,0.42348799109458923
69,0.8333333134651184,0.4525977373123169
70,0.8405796885490417,0.4264684021472931
71,0.9130434989929199,0.3474941849708557
72,0.8478260636329651,0.3950750231742859
73,0.8333333134651184,0.44323110580444336
74,0.8478260636329651,0.3798872232437134
75,0.8333333134651184,0.3916514813899994
76,0.90625,0.24858051538467407
