epoch,categorical_accuracy,loss
0,0.3306451737880707,1.1019045114517212
1,0.3790322542190552,1.0935966968536377
2,0.45967742800712585,1.0857435464859009
3,0.44354838132858276,1.0853077173233032
4,0.4516128897666931,1.0827338695526123
5,0.5766128897666931,1.0692365169525146
6,0.5403226017951965,1.0661643743515015
7,0.5564516186714172,1.0544233322143555
8,0.5766128897666931,1.051993727684021
9,0.5887096524238586,1.044130563735962
10,0.6088709831237793,1.030367374420166
11,0.6733871102333069,1.0039478540420532
12,0.6653226017951965,0.9777263402938843
13,0.6572580933570862,0.9470407962799072
14,0.6935483813285828,0.9014794826507568
15,0.7177419066429138,0.8779277205467224
16,0.7701612710952759,0.7942149043083191
17,0.7338709831237793,0.7522856593132019
18,0.7580645084381104,0.6890727281570435
19,0.7943548560142517,0.6195406317710876
20,0.8064516186714172,0.5604199171066284
21,0.8467742204666138,0.4876905381679535
22,0.8064516186714172,0.44801273941993713
23,0.8427419066429138,0.4153742492198944
24,0.8629032373428345,0.37352854013442993
25,0.90625,0.22740823030471802
